IP地址        端口号
223.199.29.62     9999
171.35.160.65     9999
113.128.120.162     9999
114.226.246.153     9999
1.196.177.42     9999
113.195.225.210     9999
220.184.24.110     9999
114.239.110.121     9999
114.239.148.42     9999
58.212.41.108     9999
27.152.193.61     9999
223.199.19.39     9999
49.77.210.100     9999
223.199.24.104     9999
123.149.136.130     9999
123.149.136.49     9999
117.88.177.24     3000
123.149.141.76     9999
140.255.140.147     9999
110.243.0.213     9999
112.87.70.163     9999
223.199.25.126     9999
115.216.56.175     9999
27.150.85.13     9999
58.212.43.238     9999
140.255.139.27     9999
223.241.117.101     9999
171.12.113.215     9999
112.84.73.106     9999
111.79.45.181     9999
113.121.20.166     9999
122.231.156.180     9999
123.160.1.173     9999
114.226.161.105     9999
223.199.25.151     9999
111.79.45.199     9999
163.204.243.234     9999
182.35.85.245     9999
59.52.184.37     9999
36.27.31.55     9999
223.199.17.237     9999
49.71.133.206     9999
223.199.22.96     9999
122.193.230.153     9999
111.79.45.99     9999
49.77.210.249     9999
114.99.1.108     9999
117.88.4.53     3000
59.52.185.179     9999
183.146.157.151     9999
114.239.29.114     9999
114.99.0.137     9999
114.233.51.157     9999
123.163.27.148     9999
27.152.194.77     9999
49.77.208.33     9999
171.35.213.134     9999
180.122.180.227     9999
123.169.101.12     9999
117.28.97.199     9999
60.167.113.163     9999
114.226.244.28     9999
223.199.20.68     9999
36.27.187.202     9999
114.239.150.1     9999
223.199.19.29     9999
49.89.85.63     9999
114.99.23.186     9999
223.199.18.203     9999
183.166.138.17     9999
223.199.16.58     9999
49.79.50.133     8118
223.199.30.152     9999
123.160.69.195     9999
182.35.80.48     9999
222.249.238.138     8080
113.121.75.34     9999
111.160.169.54     42626
218.64.69.79     8080
183.166.132.214     9999
223.199.23.8     9999
60.167.102.43     9999
60.167.22.135     808
115.211.184.34     9999
117.87.75.118     9999
58.212.50.91     9999
60.167.132.151     9999
60.167.134.17     9999
60.167.20.61     9999
183.166.162.181     9999
117.57.62.253     9999
183.166.71.160     9999
223.241.79.179     8010
60.205.227.83     8080
49.89.244.63     9999
183.166.162.192     9999
1.198.109.39     9999
223.199.27.232     9999
223.199.18.107     9999
183.166.139.184     9999

114.226.246.23     9999
59.52.185.73     9999
223.199.16.197     9999
123.163.27.142     9999
114.99.4.103     9999
123.160.1.223     9999
123.169.96.89     9999
223.199.20.220     9999
180.110.150.255     9999
124.113.192.162     9999
123.160.1.29     9999
123.149.141.188     9999
125.123.141.96     9999
175.42.122.232     9999
223.199.20.174     9999
114.239.151.53     808
49.77.211.71     9999
163.204.246.92     9999
222.190.171.189     9999
114.239.210.190     9999
60.167.20.45     9999
117.88.4.210     3000
36.57.77.149     9999
1.197.10.39     9999
183.166.111.219     9999
115.221.197.219     9999
182.35.85.35     9999
123.160.1.140     9999
122.193.229.171     9999
118.212.105.201     9999
117.91.130.10     9999
223.199.23.122     9999
58.212.41.95     9999
180.122.147.243     9999
223.199.18.164     9999
223.199.17.235     9999
49.70.89.85     9999
114.239.2.78     808
114.226.89.83     9999
223.199.18.116     9999
123.160.1.160     9999
60.167.22.63     9999
183.154.53.122     9999
58.243.50.184     53281
223.199.29.65     9999
183.164.239.190     9999
106.85.138.215     9999
113.195.170.42     9999
123.169.103.118     9999
114.104.128.64     9999
183.146.157.235     9999
113.121.40.210     9999
171.12.112.56     9999
60.167.102.102     9999
60.167.133.216     9999
118.212.106.107     9999
223.199.24.170     9999
60.167.132.230     8118
182.34.20.193     9999
223.199.21.28     9999
180.107.52.194     9999
117.88.4.84     3000
123.169.119.221     9999
222.95.144.134     3000
117.95.199.209     9999
117.88.5.42     3000
118.212.104.194     9999
171.13.103.171     9999
123.169.122.238     9999
122.193.228.48     9999
223.199.27.78     9999
183.154.51.207     9999
223.199.20.20     9999
223.199.30.86     9999
114.226.245.33     9999
114.99.14.162     9999
58.212.41.238     9999
113.128.120.53     61234
175.154.116.82     9999
121.233.87.126     9999
36.27.28.198     9999
60.167.135.202     9999
223.199.26.152     9999
123.169.96.176     9999
223.199.25.42     9999
60.167.21.113     9999
49.77.210.242     9999
223.199.24.90     9999
112.87.77.250     9999
114.226.246.175     9999
153.35.246.14     9999
223.199.17.245     9999
223.199.22.35     9999
115.216.76.240     9999
223.199.16.88     9999
123.163.97.144     9999
117.88.5.41     3000
183.166.162.51     9999
60.167.103.150     9999
222.95.144.91     3000
